疾病名称	代码	父代码
脑室腹腔分流管障碍	T85.001	T85
脑室腹腔分流管脱位	T85.002	T85
脑室腹腔分流管阻塞	T85.003	T85
神经系统植入的电子刺激器的机械性并发症	T85.1	T85
神经系统植入的电子刺激器的机械性并发症	T85.100	T85
脑电子神经刺激器引起的机械性并发症	T85.100x001	T85
周围神经电子神经刺激器引起的机械性并发症	T85.100x002	T85
脊髓电子神经刺激器引起的机械性并发症	T85.100x004	T85
眼内透镜的机械性并发症	T85.2	T85
眼内透镜的机械性并发症	T85.200	T85
人工晶体脱位	T85.200x001	T85
人工晶体引起的机械性并发症	T85.200x002	T85
人工晶体夹持	T85.201	T85
人工晶体移位	T85.202	T85
其他眼假体装置、植入物和移植物的机械性并发症	T85.3	T85
眼假体装置、植入物和移植物的机械性并发症，其他的	T85.300	T85
眼前房引流管脱出	T85.300x001	T85
眼假体眶引起的机械性并发症	T85.300x003	T85
角膜移植物引起的机械性并发症	T85.300x004	T85
眼硅油乳化	T85.300x005	T85
人工泪管移位	T85.300x006	T85
人工泪管阻塞	T85.300x007	T85
巩膜环扎带暴露	T85.300x008	T85
眼假体装置植入物和移植物引起的机械性并发症	T85.300x009	T85
义眼台暴露	T85.301	T85
玻璃体气体泄漏	T85.302	T85
玻璃体硅油移位	T85.303	T85
人工玻璃体障碍	T85.304	T85
前房植入硅管障碍	T85.308	T85
巩膜环扎带障碍	T85.309	T85
角膜缝线外露	T85.310	T85
角膜移植片溶解	T85.311	T85
义眼座外露	T85.312	T85
乳房假体和植入物的机械性并发症	T85.4	T85
乳房假体和植入物的机械性并发症	T85.400	T85
乳房假体障碍	T85.401	T85
胃肠道假体装置、植入物和移植物的机械性并发症	T85.5	T85
胃肠道假体装置、植入物和移植物的机械性并发症	T85.500	T85
胆管假体引起的机械性并发症	T85.500x001	T85
食管抗反流装置引起的机械性并发症	T85.500x002	T85
胃肠道植入物引起的机械性并发症	T85.500x003	T85
胆总管内支架脱出	T85.501	T85
其他特指的内部假体装置、植入物和移植物的机械性并发症	T85.6	T85
内部假体装置、植入物和移植物，其他特指的机械性并发症	T85.600	T85
硬膜外和硬膜下输注导管引起的机械性并发症	T85.600x001	T85
不可吸收性手术材料引起的机械性并发症	T85.600x003	T85
永久性缝线引起的机械性并发症	T85.600x004	T85
MEDPOR假体外露	T85.600x006	T85
扩张器外露	T85.600x007	T85
扩张器渗液	T85.600x008	T85
扩张器破裂	T85.600x009	T85
腹腔化疗泵外露	T85.600x010	T85
人工耳蜗松动	T85.601	T85
人工听骨移位	T85.602	T85
鼓膜置管移位	T85.603	T85
外耳道支架短缩	T85.604	T85
气管套管脱出	T85.606	T85
气管植入T管断裂	T85.607	T85
主支气管支架断裂	T85.608	T85
腹膜透析管移位	T85.609	T85
腹膜透析管阻塞	T85.610	T85
腹膜透析管并发症	T85.611	T85
其他内部假体装置、植入物和移植物引起的感染和炎症性反应	T85.7	T85
假体装置、植入物和移植物引起的感染和炎症性反应，其他内部的	T85.700	T85
腹膜透析导管隧道感染	T85.700x103	T85
腹膜透析导管外口感染	T85.700x104	T85
胸部硅胶板植入感染	T85.700x804	T85
植入装置后感染	T85.700x808	T85
鼻假体植入后感染	T85.700x809	T85
脑室腹腔分流管置入感染	T85.701	T85
人工硬脑膜植入感染	T85.702	T85
导管相关性感染	T85.703	T85
巩膜硅胶带环扎植入感染	T85.704	T85
人工耳蜗植入感染	T85.705	T85
鼻硅胶植入感染	T85.706	T85
胆道造影术后感染	T85.708	T85
腹腔插管感染	T85.709	T85
腹膜透析中腹腔感染	T85.710	T85
腹膜透析后腹膜炎	T85.711	T85
皮肤扩张器植入感染	T85.712	T85
颅骨人工骨板植入感染	T85.713	T85
内部假体装置、植入物和移植物的其他并发症，不可归类在他处者	T85.8	T85
内部假体装置、植入物和移植物的其他并发症，不可归类在他处者	T85.800	T85
扩张器植入术后皮瓣破裂	T85.800x801	T85
TIPSS肝内支架狭窄	T85.800x802	T85
植入物脱出	T85.800x803	T85
插管引起的气管内出血	T85.800x804	T85
人工角膜前膜	T85.800x805	T85
人工角膜后膜	T85.800x806	T85
人工晶体前膜	T85.800x807	T85
眼硅油残留	T85.800x808	T85
眼植入物并发症	T85.800x809	T85
鼻整形术后并发症	T85.800x810	T85
鼻整形术后假体外露	T85.800x811	T85
腹膜透析管内血栓	T85.801	T85
化疗管植入后皮肤溃疡	T85.802	T85
支架植入后出血	T85.803	T85
疝补片排斥反应	T85.806	T85
颅骨补片排斥反应	T85.807	T85
内部假体装置、植入物和移植物的未特指并发症	T85.9	T85
内部假体装置、植入物和移植物的并发症	T85.900	T85
腹膜透析装置并发症	T85.901	T85
不可吸收缝线并发症	T85.902	T85
人工晶体障碍	T85.903	T85
	T86	
	移植器官和组织的失败和排斥	
移植器官和组织的失败和排斥	T86	
骨髓移植排斥	T86.0	T86
骨髓移植排斥	T86.000	T86
急性移植物抗宿主病	T86.000x003	T86
慢性移植物抗宿主病	T86.000x004	T86
移植物抗宿主反应	T86.001	T86
肾移植失败和排斥	T86.1	T86
肾移植失败和排斥	T86.100	T86
肾移植失败	T86.100x001	T86
肾移植排斥	T86.100x002	T86
肾移植后肾衰竭	T86.100x003	T86
肾移植急性排斥	T86.100x005	T86
肾移植慢性排斥	T86.100x006	T86
肾移植急性体液性排斥	T86.100x007	T86
肾移植急性细胞性排斥	T86.100x008	T86
移植肾功能不全	T86.102	T86
移植肾破裂	T86.103	T86
移植肾死亡	T86.104	T86
移植肾萎缩	T86.105	T86
移植肾无功能	T86.106	T86
肾移植术后少尿	T86.107	T86
心脏移植失败和排斥	T86.2	T86
心脏移植失败和排斥	T86.200	T86
心脏移植失败	T86.200x001	T86
心脏移植排斥	T86.200x002	T86
心-肺移植失败和排斥	T86.3	T86
心-肺移植失败和排斥	T86.300	T86
心肺移植失败	T86.300x001	T86
心肺移植排斥	T86.300x002	T86
肝脏移植失败和排斥	T86.4	T86
肝脏移植失败和排斥	T86.400	T86
肝移植失败	T86.400x001	T86
肝移植排斥	T86.400x003	T86
肝移植物急性抗宿主病	T86.400x004	T86
肝移植物慢性抗宿主病	T86.400x005	T86
肝移植急性排斥	T86.400x006	T86
肝移植慢性排斥	T86.400x007	T86
肝移植后肝动脉血栓形成	T86.400x009	T86
肝移植后肝动脉狭窄	T86.400x010	T86
肝移植后肝动脉假性动脉瘤	T86.400x011	T86
肝移植后门静脉血栓形成	T86.400x012	T86
肝移植后门静脉狭窄	T86.400x013	T86
肝移植后下腔静脉血栓形成	T86.400x014	T86
肝移植后下腔静脉狭窄	T86.400x015	T86
肝移植后肝静脉回流障碍	T86.400x016	T86
肝移植后肝功能不全	T86.400x017	T86
肝移植后门静脉闭塞	T86.400x018	T86
移植肝功能衰竭	T86.401	T86
其他移植器官和组织的失败和排斥	T86.8	T86
移植器官和组织的失败和排斥，其他的	T86.800	T86
肺移植失败	T86.800x011	T86
胰移植失败	T86.800x021	T86
眼硅胶移植失败	T86.800x802	T86
角膜移植失败	T86.800x804	T86
骨移植失败	T86.800x805	T86
肠移植失败	T86.800x807	T86
肠移植排斥	T86.800x808	T86
皮肤移植失败	T86.800x809	T86
巩膜移植排斥	T86.800x811	T86
巩膜移植失败	T86.800x812	T86
皮瓣移植失败	T86.800x813	T86
皮瓣移植排斥	T86.800x814	T86
眼移植物失败	T86.800x816	T86
移植角膜排斥反应	T86.801	T86
舌移植皮瓣坏死	T86.802	T86
移植肺排斥反应	T86.803	T86
移植胰排斥反应	T86.804	T86
移植骨排斥反应	T86.805	T86
移植皮肤排斥反应	T86.806	T86
皮瓣移植感染	T86.807	T86
移植皮瓣坏死	T86.808	T86
眼硅胶排斥反应	T86.809	T86
眼植入物排斥反应	T86.810	T86
尿道悬吊带排斥	T86.811	T86
未特指的移植器官和组织的失败和排斥	T86.9	T86
移植器官和组织的失败和排斥	T86.900	T86
	T87	
	再植和截断术所特有的并发症	
再植和截断术所特有的并发症	T87	
上肢再植（部位）的并发症	T87.0	T87
上肢再植（部位）的并发症	T87.000	T87
上肢再植术后感染	T87.001	T87
下肢再植（部位）的并发症	T87.1	T87
下肢再植（部位）的并发症	T87.100	T87
下肢再植术后感染	T87.101	T87
其他再植身体部位的并发症	T87.2	T87
再植身体部位的并发症，其他的	T87.200	T87
截断术残端的神经瘤	T87.3	T87
截断术残端的神经瘤	T87.300	T87
创伤性神经瘤	T87.300x001	T87
指创伤性神经瘤	T87.300x002	T87
截断术残端的感染	T87.4	T87
截断术残端的感染	T87.400	T87
截断术残端的坏死	T87.5	T87
截断术残端的坏死	T87.500	T87
截断术残端的其他和未特指的并发症	T87.6	T87
截断术残端的其他和未特指的并发症	T87.600	T87
截断术残端挛缩	T87.600x002	T87
截断术残端血肿	T87.600x003	T87
截断术残端水肿	T87.600x004	T87
截肢残端溃疡	T87.601	T87
残端综合征	T87.602	T87
	T88	
	手术和医疗的其他并发症，不可归类在他处者	
手术和医疗的其他并发症，不可归类在他处者	T88	
免疫接种后的感染	T88.0	T88
免疫接种后的感染	T88.000	T88
免疫接种后的其他并发症，不可归类	T88.1	T88
免疫接种后的其他并发症，不可归类在他处者	T88.100	T88
免疫接种后皮疹	T88.100x002	T88
疫苗接种反应	T88.101	T88
免疫接种后反应	T88.102	T88
麻醉引起的休克	T88.2	T88
麻醉引起的休克	T88.200	T88
麻醉引起的恶性高热	T88.3	T88
麻醉引起的恶性高热	T88.300	T88
插管失败或困难	T88.4	T88
插管失败或困难	T88.400	T88
插管失败	T88.400x001	T88
插管困难	T88.400x002	T88
麻醉的其他并发症	T88.5	T88
麻醉的其他并发症	T88.500	T88
麻醉后低体温	T88.500x001	T88
麻醉意外	T88.501	T88
适当应用正确药物或药剂的有害效应引起的过敏性休克	T88.6	T88
适当应用正确药物或药剂的有害效应引起的过敏性休克	T88.600	T88
药物过敏性休克	T88.601	T88
药物和药剂未特指的有害效应	T88.7	T88
药物和药剂的有害效应	T88.700	T88
药物不良反应	T88.700x002	T88
避孕药药物反应	T88.700x003	T88
药物超敏综合征	T88.700x004	T88
氨茶碱药物反应	T88.700x007	T88
氨基糖甙类抗菌素药物反应	T88.700x010	T88
苯妥英钠药物反应	T88.700x012	T88
草酸爱司西酞普兰药物反应	T88.700x014	T88
药物过敏反应	T88.701	T88
类固醇激素并发症	T88.702	T88
维甲酸综合征	T88.703	T88
手术和医疗其他特指的并发症，不可归类在他处者	T88.8	T88
手术和医疗其他特指的并发症，不可归类在他处者	T88.800	T88
医源性脊髓损伤	T88.800x001	T88
手术和医疗未特指的并发症	T88.9	T88
手术和医疗的并发症	T88.900	T88
超声治疗并发症	T88.901	T88
	V01	
	行人在与脚踏车碰撞中的损伤	
行人在与脚踏车碰撞中的损伤	V01	
行人在与脚踏车碰撞中的损伤:非交通事故	V01.0	V01
行人在与脚踏车碰撞中的损伤：交通事故	V01.1	V01
行人在与脚踏车碰撞中的损伤：未特指为交通事故或非交通事故	V01.9	V01
行人在与脚踏车碰撞中的损伤	V01.x00	V01
	V02	
	行人在与两轮或三轮摩托车碰撞中的损伤	
行人在与两轮或三轮摩托车碰撞中的损伤	V02	
行人在与两轮或三轮摩托车碰撞中的损伤:非交通事故	V02.0	V02
行人在与两轮或三轮摩托车碰撞中的损伤:交通事故	V02.1	V02
行人在与两轮或三轮摩托车碰撞中的损伤：未特指为交通事故或非交通事故	V02.9	V02
行人在与两轮或三轮摩托车碰撞中的损伤	V02.x00	V02
	V03	
	行人在与小汽车、轻型货车或篷车碰撞中的损伤	
行人在与小汽车、轻型货车或篷车碰撞中的损伤	V03	
行人在与小汽车、轻型货车或篷车碰撞中的损伤:非交通事故	V03.0	V03
行人在与小汽车、轻型货车或篷车碰撞中的损伤:交通事故	V03.1	V03
行人在与小汽车、轻型货车或篷车碰撞中的损伤：未特指为交通事故或非交通事故	V03.9	V03
行人在与小汽车、轻型货车或篷车碰撞中的损伤	V03.x00	V03
	V04	
	行人在与重型运输车或公共汽车碰撞中的损伤	
行人在与重型运输车或公共汽车碰撞中的损伤	V04	
行人在与重型运输车或公共汽车碰撞中的损伤:非交通事故	V04.0	V04
行人在与重型运输车或公共汽车碰撞中的损伤:交通事故	V04.1	V04
行人在与重型运输车或公共汽车碰撞中的损伤：未特指为交通事故或非交通事故	V04.9	V04
行人在与重型运输车或公共汽车碰撞中的损伤	V04.x00	V04
	V05	
	行人在与火车或铁路车辆碰撞中的损伤	
行人在与火车或铁路车辆碰撞中的损伤	V05	
行人在与火车或铁路车辆碰撞中的损伤:非交通事故	V05.0	V05
行人在与火车或铁路车辆碰撞中的损伤:交通事故	V05.1	V05
行人在与火车或铁路车辆碰撞中的损伤:未特指为交通事故或非交通事故	V05.9	V05
行人在与火车或铁路车辆碰撞中的损伤	V05.x00	V05
	V06	
	行人在与其他非机动车辆碰撞中的损伤	
行人在与其他非机动车辆碰撞中的损伤	V06	
行人在与其他非机动车辆碰撞中的损伤:非交通事故	V06.0	V06
行人在与其他非机动车辆碰撞中的损伤:交通事故	V06.1	V06
行人在与其他非机动车辆碰撞中的损伤:未特指为交通事故或非交通事故	V06.9	V06
行人在与其他非机动车辆碰撞中的损伤	V06.x00	V06
	V09	
	行人在涉及其他和未特指机动车辆的非交通事故中的损伤	
行人在涉及其他和未特指机动车辆的非交通事故中的损伤	V09	
行人在未特指的非交通事故中的损伤	V09.0	V09
行人在涉及其他和未特指指机动车辆的非交通事故中的损伤	V09.000	V09
行人在涉及其他和未特指机动车辆的交通事故中的损伤	V09.1	V09
行人在非交通事故中的损伤	V09.100	V09
行人在未特指交通事故中的损伤	V09.2	V09
行人在涉及其他和未特指机动车辆的交通事故中的损伤	V09.200	V09
机动车辆与行人碰撞的交通事故	V09.200x091	V09
行人被机动车辆碰撞的交通事故	V09.200x092	V09
行人在未特指运输事故中的损伤	V09.3	V09
行人在交通事故中的损伤	V09.300	V09
行人在未特指运输事故中的损伤	V09.9	V09
行人在运输事故中的损伤	V09.900	V09
	V10	
	骑脚踏车人员在脚踏车与行人或牲畜碰撞中的损伤	
骑脚踏车人员在脚踏车与行人或牲畜碰撞中的损伤	V10	
骑脚踏车人员在脚踏车与行人或牲畜碰撞中的损伤：骑脚踏车人员在非交通事故中的损伤	V10.0	V10
骑脚踏车人员在脚踏车与行人或牲畜碰撞中的损伤：乘脚踏车人员在非交通事故中的损伤	V10.1	V10
骑脚踏车人员在脚踏车与行人或牲畜碰撞中的损伤：未特指的骑脚踏车人员在非交通事故中的损伤	V10.2	V10
骑脚踏车人员在脚踏车与行人或牲畜碰撞中的损伤：上或下脚踏车时的人员损伤	V10.3	V10
骑脚踏车人员在脚踏车与行人或牲畜碰撞中的损伤：骑脚踏车人员在交通事故中的损伤	V10.4	V10
骑脚踏车人员在脚踏车与行人或牲畜碰撞中的损伤：乘脚踏车人员在交通事故中的损伤	V10.5	V10
骑脚踏车人员在脚踏车与行人或牲畜碰撞中的损伤：未特指的骑脚踏车人员在交通事故中的损伤	V10.9	V10
骑脚踏车人员在脚踏车与行人或牲畜碰撞中的损伤	V10.x00	V10
	V11	
	骑脚踏车人员在脚踏车与其他脚踏车碰撞中的损伤	
骑脚踏车人员在脚踏车与其他脚踏车碰撞中的损伤	V11	
骑脚踏车人员在脚踏车与其他脚踏车碰撞中的损伤：骑脚踏车人员在非交通事故中的损伤	V11.0	V11
骑脚踏车人员在脚踏车与其他脚踏车碰撞中的损伤：乘脚踏车人员在非交通事故中的损伤	V11.1	V11
骑脚踏车人员在脚踏车与其他脚踏车碰撞中的损伤：未特指的骑脚踏车人员在非交通事故中的损伤	V11.2	V11
骑脚踏车人员在脚踏车与其他脚踏车碰撞中的损伤：上或下脚踏车时的人员损伤	V11.3	V11
骑脚踏车人员在脚踏车与其他脚踏车碰撞中的损伤：骑脚踏车人员在交通事故中的损伤	V11.4	V11
骑脚踏车人员在脚踏车与其他脚踏车碰撞中的损伤：乘脚踏车人员在交通事故中的损伤	V11.5	V11
骑脚踏车人员在脚踏车与其他脚踏车碰撞中的损伤：未特指的骑脚踏车人员在交通事故中的损伤	V11.9	V11
骑脚踏车人员在脚踏车与其他脚踏车碰撞中的损伤	V11.x00	V11
	V12	
	骑脚踏车人员在脚踏车与两轮或三轮机动车碰撞中的损伤	
骑脚踏车人员在脚踏车与两轮或三轮机动车碰撞中的损伤	V12	
骑脚踏车人员在脚踏车与两轮或三轮机动车碰撞中的损伤：骑脚踏车人员在非交通事故中的损伤	V12.0	V12
骑脚踏车人员在脚踏车与两轮或三轮机动车碰撞中的损伤：乘脚踏车人员在非交通事故中的损伤	V12.1	V12
骑脚踏车人员在脚踏车与两轮或三轮机动车碰撞中的损伤：未特指的骑脚踏车人员在非交通事故中的损伤	V12.2	V12
骑脚踏车人员在脚踏车与两轮或三轮机动车碰撞中的损伤：上或下脚踏车时的人员损伤	V12.3	V12
骑脚踏车人员在脚踏车与两轮或三轮机动车碰撞中的损伤：骑脚踏车人员在交通事故中的损伤	V12.4	V12
骑脚踏车人员在脚踏车与两轮或三轮机动车碰撞中的损伤：乘脚踏车人员在交通事故中的损伤	V12.5	V12
骑脚踏车人员在脚踏车与两轮或三轮机动车碰撞中的损伤：未特指的骑脚踏车人员在交通事故中的损伤	V12.9	V12
骑脚踏车人员在脚踏车与两轮或三轮机动车碰撞中的损伤	V12.x00	V12
	V13	
	骑脚踏车人员在脚踏车与小汽车、轻型货车或篷车碰撞中的损伤	
骑脚踏车人员在脚踏车与小汽车、轻型货车或篷车碰撞中的损伤	V13	
骑脚踏车人员在脚踏车与小汽车、轻型货车或篷车碰撞中的损伤：骑脚踏车人员在非交通事故中的损伤	V13.0	V13
骑脚踏车人员在脚踏车与小汽车、轻型货车或篷车碰撞中的损伤：乘脚踏车人员在非交通事故中的损伤	V13.1	V13
骑脚踏车人员在脚踏车与小汽车、轻型货车或篷车碰撞中的损伤：未特指的骑脚踏车人员在非交通事故中的损伤	V13.2	V13
骑脚踏车人员在脚踏车与小汽车、轻型货车或篷车碰撞中的损伤：上或下脚踏车时的人员损伤	V13.3	V13
骑脚踏车人员在脚踏车与小汽车、轻型货车或篷车碰撞中的损伤：骑脚踏车人员在交通事故中的损伤	V13.4	V13
骑脚踏车人员在脚踏车与小汽车、轻型货车或篷车碰撞中的损伤：乘脚踏车人员在交通事故中的损伤	V13.5	V13
骑脚踏车人员在脚踏车与小汽车、轻型货车或篷车碰撞中的损伤：未特指的骑脚踏车人员在交通事故中的损伤	V13.9	V13
骑脚踏车人员在脚踏车与小汽车、轻型货车或篷车碰撞中的损伤	V13.x00	V13
	V14	
	骑脚踏车人员在脚踏车与重型运输车或公共汽车碰撞中的损伤	
骑脚踏车人员在脚踏车与重型运输车或公共汽车碰撞中的损伤	V14	
骑脚踏车人员在脚踏车与重型运输车或公共汽车碰撞中的损伤：骑脚踏车人员在非交通事故中的损伤	V14.0	V14
骑脚踏车人员在脚踏车与重型运输车或公共汽车碰撞中的损伤：乘脚踏车人员在非交通事故中的损伤	V14.1	V14
骑脚踏车人员在脚踏车与重型运输车或公共汽车碰撞中的损伤：未特指的骑脚踏车人员在非交通事故中的损伤	V14.2	V14
骑脚踏车人员在脚踏车与重型运输车或公共汽车碰撞中的损伤：上或下脚踏车时的人员损伤	V14.3	V14
骑脚踏车人员在脚踏车与重型运输车或公共汽车碰撞中的损伤：骑脚踏车人员在交通事故中的损伤	V14.4	V14
骑脚踏车人员在脚踏车与重型运输车或公共汽车碰撞中的损伤：乘脚踏车人员在交通事故中的损伤	V14.5	V14
骑脚踏车人员在脚踏车与重型运输车或公共汽车碰撞中的损伤：未特指的骑脚踏车人员在交通事故中的损伤	V14.9	V14
骑脚踏车人员在脚踏车与重型运输车或公共汽车碰撞中的损伤	V14.x00	V14
	V15	
	骑脚踏车人员在脚踏车与火车或铁路车辆碰撞中的损伤	
骑脚踏车人员在脚踏车与火车或铁路车辆碰撞中的损伤	V15	
骑脚踏车人员在脚踏车与火车或铁路车辆碰撞中的损伤：骑脚踏车人员在非交通事故中的损伤	V15.0	V15
骑脚踏车人员在脚踏车与火车或铁路车辆碰撞中的损伤：乘脚踏车人员在非交通事故中的损伤	V15.1	V15
骑脚踏车人员在脚踏车与火车或铁路车辆碰撞中的损伤：未特指的骑脚踏车人员在非交通事故中的损伤	V15.2	V15
骑脚踏车人员在脚踏车与火车或铁路车辆碰撞中的损伤：上或下脚踏车时的人员损伤	V15.3	V15
骑脚踏车人员在脚踏车与火车或铁路车辆碰撞中的损伤：骑脚踏车人员在交通事故中的损伤	V15.4	V15
骑脚踏车人员在脚踏车与火车或铁路车辆碰撞中的损伤：乘脚踏车人员在交通事故中的损伤	V15.5	V15
骑脚踏车人员在脚踏车与火车或铁路车辆碰撞中的损伤：未特指的骑脚踏车人员在交通事故中的损伤	V15.9	V15
骑脚踏车人员在脚踏车与火车或铁路车辆碰撞中的损伤	V15.x00	V15
	V16	
	骑脚踏车人员在脚踏车与其他非机动车辆碰撞中的损伤	
骑脚踏车人员在脚踏车与其他非机动车辆碰撞中的损伤	V16	
骑脚踏车人员在脚踏车与其他非机动车辆碰撞中的损伤：骑脚踏车人员在非交通事故中的损伤	V16.0	V16
骑脚踏车人员在脚踏车与其他非机动车辆碰撞中的损伤：乘脚踏车人员在非交通事故中的损伤	V16.1	V16
骑脚踏车人员在脚踏车与其他非机动车辆碰撞中的损伤：未特指的骑脚踏车人员在非交通事故中的损伤	V16.2	V16
骑脚踏车人员在脚踏车与其他非机动车辆碰撞中的损伤：上或下脚踏车时的人员损伤	V16.3	V16
骑脚踏车人员在脚踏车与其他非机动车辆碰撞中的损伤：骑脚踏车人员在交通事故中的损伤	V16.4	V16
骑脚踏车人员在脚踏车与其他非机动车辆碰撞中的损伤：乘脚踏车人员在交通事故中的损伤	V16.5	V16
骑脚踏车人员在脚踏车与其他非机动车辆碰撞中的损伤：未特指的骑脚踏车人员在交通事故中的损伤	V16.9	V16
骑脚踏车人员在脚踏车与其他非机动车辆碰撞中的损伤	V16.x00	V16
	V17	
	骑脚踏车人员在脚踏车与固定或静止物体碰撞中的损伤	
骑脚踏车人员在脚踏车与固定或静止物体碰撞中的损伤	V17	
骑脚踏车人员在脚踏车与固定或静止物体碰撞中的损伤：骑脚踏车人员在非交通事故中的损伤	V17.0	V17
骑脚踏车人员在脚踏车与固定或静止物体碰撞中的损伤：乘脚踏车人员在非交通事故中的损伤	V17.1	V17
骑脚踏车人员在脚踏车与固定或静止物体碰撞中的损伤：未特指的骑脚踏车人员在非交通事故中的损伤	V17.2	V17
骑脚踏车人员在脚踏车与固定或静止物体碰撞中的损伤：上或下脚踏车时的人员损伤	V17.3	V17
骑脚踏车人员在脚踏车与固定或静止物体碰撞中的损伤：骑脚踏车人员在交通事故中的损伤	V17.4	V17
骑脚踏车人员在脚踏车与固定或静止物体碰撞中的损伤：乘脚踏车人员在交通事故中的损伤	V17.5	V17
骑脚踏车人员在脚踏车与固定或静止物体碰撞中的损伤：未特指的骑脚踏车人员在交通事故中的损伤	V17.9	V17
骑脚踏车人员在脚踏车与固定或静止物体碰撞中的损伤	V17.x00	V17
	V18	
	骑脚踏车人员在非碰撞性运输事故中的损伤	
骑脚踏车人员在非碰撞性运输事故中的损伤	V18	
骑脚踏车人员在非碰撞性运输事故中的损伤：骑脚踏车人员在非交通事故中的损伤	V18.0	V18
骑脚踏车人员在非碰撞性运输事故中的损伤：乘脚踏车人员在非交通事故中的损伤	V18.1	V18
骑脚踏车人员在非碰撞性运输事故中的损伤：未特指的骑脚踏车人员在非交通事故中的损伤	V18.2	V18
骑脚踏车人员在非碰撞性运输事故中的损伤：上或下脚踏车时的人员损伤	V18.3	V18
骑脚踏车人员在非碰撞性运输事故中的损伤：骑脚踏车人员在交通事故中的损伤	V18.4	V18
骑脚踏车人员在非碰撞性运输事故中的损伤：乘脚踏车人员在交通事故中的损伤	V18.5	V18
骑脚踏车人员在非碰撞性运输事故中的损伤：未特指的骑脚踏车人员在交通事故中的损伤	V18.9	V18
骑脚踏车人员在非碰撞性运输事故中的损伤	V18.x00	V18
	V19	
	骑脚踏车人员在其他和未特指的运输事故中的损伤	
骑脚踏车人员在其他和未特指的运输事故中的损伤	V19	
非交通事故中脚踏车与其他和未特指的机动车辆碰撞造成骑脚踏车人员的损伤	V19.0	V19
非交通事故中脚踏车与其他机动车辆碰撞造成骑脚踏车人员的损伤	V19.000	V19
非交通事故中脚踏车与其他和未特指的机动车辆碰撞造成乘脚踏车人员的损伤	V19.1	V19
非交通事故中脚踏车与其他的机动车辆碰撞造成乘脚踏车人员的损伤	V19.100	V19
非交通事故中脚踏车与其他和未特指的机动车辆碰撞造成未特指的骑脚踏车人员的损伤	V19.2	V19
非交通事故中脚踏车与其他机动车辆碰撞造成的骑脚踏车人员的损伤	V19.200	V19
[任何]骑脚踏车人员在未特指的非交通事故中的损伤	V19.3	V19
骑脚踏车人员在非交通事故中的损伤	V19.300	V19
交通事故中脚踏车与其他和未特指机动车辆碰撞造成骑脚踏车人员的损伤	V19.4	V19
交通事故中脚踏车与其他和未特指机动车辆碰撞造成骑脚踏车人员的损伤	V19.400	V19
交通事故中脚踏车与其他和未特指机动车辆碰撞造成乘脚踏车人员的损伤	V19.5	V19
交通事故中脚踏车与其他机动车辆碰撞造成乘脚踏车人员的损伤	V19.500	V19
交通事故中脚踏车与其他和未特指机动车辆碰撞造成未特指骑脚踏车人员的损伤	V19.6	V19
交通事故中脚踏车与其他和未特指机动车辆碰撞造成骑不明确的脚踏车司、乘人员损伤	V19.600	V19
[任何]骑脚踏车人员在其他特指的运输事故中的损伤	V19.8	V19
骑脚踏车人员在其他特指的运输事故中的损伤	V19.800	V19
[任何]骑脚踏车人员在未特指交通事故中的损伤	V19.9	V19
骑脚踏车人员在交通事故中的损伤	V19.900	V19
自行车的事故	V19.900x091	V19
	V20	
	骑摩托车人员在摩托车与行人或牲畜碰撞中的损伤	
骑摩托车人员在摩托车与行人或牲畜碰撞中的损伤	V20	
骑摩托车人员在摩托车与行人或牲畜碰撞中的损伤：骑摩托车人员在非交通事故中的损伤	V20.0	V20
骑摩托车人员在摩托车与行人或牲畜碰撞中的损伤：乘摩托车人员在非交通事故中的损伤	V20.1	V20
骑摩托车人员在摩托车与行人或牲畜碰撞中的损伤：未特指的骑摩托车人员在非交通事故中的损伤	V20.2	V20
骑摩托车人员在摩托车与行人或牲畜碰撞中的损伤：上或下摩托车时的人员损伤	V20.3	V20
骑摩托车人员在摩托车与行人或牲畜碰撞中的损伤：骑摩托车人员在交通事故中的损伤	V20.4	V20
骑摩托车人员在摩托车与行人或牲畜碰撞中的损伤：乘摩托车人员在交通事故中的损伤	V20.5	V20
骑摩托车人员在摩托车与行人或牲畜碰撞中的损伤：未特指的骑摩托车人员在交通事故中的损伤	V20.9	V20
骑摩托车人员在摩托车与行人或牲畜碰撞中的损伤	V20.x00	V20
	V21	
	骑摩托车人员在摩托车与脚踏车碰撞中的损伤	
骑摩托车人员在摩托车与脚踏车碰撞中的损伤	V21	
骑摩托车人员在摩托车与脚踏车碰撞中的损伤：骑摩托车人员在非交通事故中的损伤	V21.0	V21
骑摩托车人员在摩托车与脚踏车碰撞中的损伤：乘摩托车人员在非交通事故中的损伤	V21.1	V21
骑摩托车人员在摩托车与脚踏车碰撞中的损伤：未特指的骑摩托车人员在非交通事故中的损伤	V21.2	V21
骑摩托车人员在摩托车与脚踏车碰撞中的损伤：上或下摩托车时的人员损伤	V21.3	V21
骑摩托车人员在摩托车与脚踏车碰撞中的损伤：骑摩托车人员在交通事故中的损伤	V21.4	V21
骑摩托车人员在摩托车与脚踏车碰撞中的损伤：乘摩托车人员在交通事故中的损伤	V21.5	V21
骑摩托车人员在摩托车与脚踏车碰撞中的损伤：未特指的骑摩托车人员在交通事故中的损伤	V21.9	V21
